Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  135    0.135   1486.8   1396.6  3.529e-05  5.010e-01  0.9395  1.99e-07
  136    0.136   1485.4   1394.7  3.571e-05  5.047e-01  0.9389  1.19e-07
  137    0.137   1484.1   1392.9  3.606e-05  5.073e-01  0.9384  1.12e-07
  138    0.138   1483.5   1391.0  3.640e-05  5.105e-01  0.9379  1.11e-07
  139    0.139   1495.1   1389.2  3.681e-05  5.161e-01  0.9373  1.61e-07
  140    0.140   1503.6   1387.4  3.744e-05  5.263e-01  0.9365  2.76e-07
  141    0.141   1507.3   1385.6  3.812e-05  5.367e-01  0.9356  5.18e-07
  142    0.142   1507.8   1383.8  3.865e-05  5.443e-01  0.9349  6.91e-07
  143    0.143   1506.4   1382.0  3.910e-05  5.508e-01  0.9342  7.15e-07
  144    0.144   1504.4   1380.3  3.944e-05  5.549e-01  0.9336  6.95e-07
  145    0.145   1505.2   1378.5  3.968e-05  5.571e-01  0.9331  6.04e-07
  146    0.146   1505.6   1376.8  3.988e-05  5.587e-01  0.9327  4.76e-07
  147    0.147   1505.6   1375.2  4.007e-05  5.606e-01  0.9322  3.67e-07
  148    0.148   1505.3   1373.5  4.034e-05  5.641e-01  0.9317  3.03e-07
  149    0.149   1505.0   1371.9  4.075e-05  5.701e-01  0.9311  3.09e-07
  150    0.150   1504.6   1370.3  4.113e-05  5.753e-01  0.9305  3.98e-07
  151    0.151   1503.8   1368.7  4.161e-05  5.819e-01  0.9297  4.32e-07
  152    0.152   1503.0   1367.1  4.209e-05  5.882e-01  0.9290  5.04e-07
  153    0.153   1502.0   1365.6  4.246e-05  5.918e-01  0.9284  5.40e-07
  154    0.154   1500.9   1364.1  4.276e-05  5.942e-01  0.9278  4.78e-07
  155    0.155   1499.8   1362.6  4.298e-05  5.948e-01  0.9273  3.97e-07
  156    0.156   1499.9   1361.1  4.314e-05  5.943e-01  0.9268  2.78e-07
  157    0.157   1499.7   1359.7  4.329e-05  5.936e-01  0.9264  1.62e-07
  158    0.158   1499.3   1358.2  4.349e-05  5.938e-01  0.9260  7.87e-08
  159    0.159   1498.6   1356.8  4.374e-05  5.945e-01  0.9255  4.74e-08
  160    0.160   1497.8   1355.5  4.398e-05  5.946e-01  0.9250  4.16e-08
  161    0.161   1496.7   1354.1  4.420e-05  5.938e-01  0.9245  4.20e-08
