Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uexit[m/s]  Uvent0D[m/s]  K2CO3[kg]  meanYfu  SMAX
  189    0.189    1   1149.1    853.4       103.75       1.35   2.743e-02   6.822e+01  1.660e-05  0.9776  1.59e-06
  190    0.190    1   1149.2    855.7       103.75       1.36   2.761e-02   6.841e+01  1.669e-05  0.9774  4.33e-07
  191    0.191    1   1149.3    857.9       103.76       1.36   2.777e-02   6.859e+01  1.676e-05  0.9773  8.40e-07
  192    0.192    1   1149.4    860.0       103.77       1.37   2.796e-02   6.876e+01  1.682e-05  0.9772  1.18e-06
  193    0.193    1   1149.4    862.1       103.77       1.38   2.820e-02   6.892e+01  1.688e-05  0.9770  1.20e-06
  194    0.194    1   1149.4    864.0       103.78       1.39   2.849e-02   6.908e+01  1.694e-05  0.9769  1.09e-06
  195    0.195    1   1149.2    865.8       103.78       1.39   2.884e-02   6.922e+01  1.700e-05  0.9768  9.17e-07
  196    0.196    1   1149.0    867.6       103.79       1.40   2.922e-02   6.935e+01  1.705e-05  0.9767  7.43e-07
  197    0.197    1   1149.0    869.2       103.79       1.41   2.964e-02   6.948e+01  1.711e-05  0.9766  8.02e-07
  198    0.198    1   1149.0    870.7       103.80       1.42   3.010e-02   6.960e+01  1.718e-05  0.9764  8.38e-07
  199    0.199    1   1148.9    872.1       103.80       1.42   3.059e-02   6.972e+01  1.724e-05  0.9763  8.22e-07
  200    0.200    1   1148.9    873.4       103.81       1.43   3.112e-02   6.982e+01  1.730e-05  0.9762  7.20e-07
   >> t=0.200 s | 2-D flow: m_gen=+3.62e-04 m_vent=+1.94e-04 kg/s/m (Pfield=1.4 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.81 kPa
  201    0.201    1   1148.9    874.7       103.81       1.44   3.167e-02   6.993e+01  1.737e-05  0.9760  5.03e-07
  202    0.202    1   1148.8    876.0       103.82       1.45   3.221e-02   7.002e+01  1.743e-05  0.9759  5.07e-07
  203    0.203    1   1148.8    877.2       103.82       1.46   3.271e-02   7.012e+01  1.749e-05  0.9758  5.89e-07
  204    0.204    1   1148.7    878.4       103.82       1.47   3.317e-02   7.021e+01  1.754e-05  0.9757  7.97e-07
  205    0.205    1   1148.5    879.7       103.83       1.47   3.360e-02   7.030e+01  1.759e-05  0.9756  8.03e-07
  206    0.206    1   1148.3    880.9       103.83       1.48   3.398e-02   7.039e+01  1.764e-05  0.9755  7.22e-07
  207    0.207    1   1148.1    882.2       103.83       1.49   3.430e-02   7.048e+01  1.769e-05  0.9753  6.33e-07
  208    0.208    1   1147.8    883.5       103.84       1.50   3.455e-02   7.058e+01  1.774e-05  0.9752  6.33e-07
  209    0.209    1   1147.5    884.8       103.84       1.51   3.474e-02   7.068e+01  1.779e-05  0.9751  6.14e-07
  210    0.210    1   1147.2    886.2       103.85       1.52   3.486e-02   7.079e+01  1.784e-05  0.9750  5.75e-07
  211    0.211    1   1146.9    887.6       103.85       1.53   3.494e-02   7.090e+01  1.789e-05  0.9749  5.15e-07
  212    0.212    1   1146.5    889.0       103.86       1.53   3.500e-02   7.101e+01  1.794e-05  0.9748  5.13e-07
  213    0.213    1   1146.2    890.5       103.86       1.54   3.503e-02   7.113e+01  1.800e-05  0.9747  5.49e-07
  214    0.214    1   1145.8    892.0       103.87       1.55   3.506e-02   7.125e+01  1.805e-05  0.9745  5.91e-07
