Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uexit[m/s]  Uvent0D[m/s]  K2CO3[kg]  meanYfu  SMAX
  439    0.439    1   1058.7    981.8       104.14       2.72   5.659e-02   7.827e+01  2.761e-05  0.9500  7.22e-08
  440    0.440    1   1058.3    981.6       104.14       2.72   5.657e-02   7.825e+01  2.765e-05  0.9499  7.23e-08
   >> t=0.440 s | 2-D flow: m_gen=+2.97e-04 m_vent=+2.62e-04 kg/s/m (Pfield=2.7 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.62e-01 kg/s/m -> dP=+3.14 kPa
  441    0.441    1   1057.9    981.5       104.14       2.72   5.654e-02   7.824e+01  2.768e-05  0.9498  7.24e-08
  442    0.442    1   1057.5    981.3       104.14       2.73   5.652e-02   7.822e+01  2.771e-05  0.9497  7.26e-08
  443    0.443    1   1057.1    981.1       104.14       2.73   5.650e-02   7.821e+01  2.775e-05  0.9496  7.29e-08
  444    0.444    1   1056.7    980.9       104.14       2.73   5.648e-02   7.819e+01  2.778e-05  0.9495  7.33e-08
  445    0.445    1   1056.3    980.7       104.14       2.73   5.646e-02   7.818e+01  2.781e-05  0.9494  7.37e-08
  446    0.446    1   1055.9    980.5       104.14       2.73   5.644e-02   7.816e+01  2.785e-05  0.9493  7.41e-08
  447    0.447    1   1055.6    980.3       104.14       2.73   5.641e-02   7.815e+01  2.788e-05  0.9492  7.46e-08
  448    0.448    1   1055.2    980.1       104.14       2.74   5.639e-02   7.813e+01  2.791e-05  0.9491  7.51e-08
  449    0.449    1   1054.8    979.9       104.14       2.74   5.636e-02   7.812e+01  2.795e-05  0.9490  7.55e-08
  450    0.450    1   1054.5    979.7       104.14       2.74   5.633e-02   7.810e+01  2.798e-05  0.9490  7.60e-08
  451    0.451    1   1054.1    979.5       104.14       2.74   5.630e-02   7.809e+01  2.801e-05  0.9489  7.64e-08
  452    0.452    1   1053.7    979.3       104.14       2.74   5.626e-02   7.807e+01  2.805e-05  0.9488  7.67e-08
  453    0.453    1   1053.4    979.1       104.14       2.74   5.623e-02   7.805e+01  2.808e-05  0.9487  7.69e-08
  454    0.454    1   1053.0    978.9       104.13       2.75   5.620e-02   7.804e+01  2.811e-05  0.9486  7.71e-08
  455    0.455    1   1052.7    978.7       104.13       2.75   5.616e-02   7.802e+01  2.815e-05  0.9485  7.70e-08
  456    0.456    1   1052.3    978.5       104.13       2.75   5.612e-02   7.801e+01  2.818e-05  0.9484  7.68e-08
  457    0.457    1   1052.0    978.3       104.13       2.75   5.609e-02   7.799e+01  2.821e-05  0.9483  7.64e-08
  458    0.458    1   1051.6    978.1       104.13       2.75   5.605e-02   7.797e+01  2.825e-05  0.9482  7.57e-08
  459    0.459    1   1051.3    977.9       104.13       2.75   5.602e-02   7.796e+01  2.828e-05  0.9481  7.48e-08
  460    0.460    1   1050.9    977.7       104.13       2.75   5.599e-02   7.794e+01  2.831e-05  0.9481  7.35e-08
  461    0.461    1   1050.6    977.5       104.13       2.76   5.596e-02   7.792e+01  2.835e-05  0.9480  7.18e-08
  462    0.462    1   1050.2    977.3       104.13       2.76   5.593e-02   7.791e+01  2.838e-05  0.9479  6.97e-08
  463    0.463    1   1049.9    977.1       104.13       2.76   5.590e-02   7.789e+01  2.841e-05  0.9478  6.71e-08
  464    0.464    1   1049.5    976.8       104.13       2.76   5.588e-02   7.788e+01  2.845e-05  0.9477  6.40e-08
  465    0.465    1   1049.2    976.6       104.13       2.76   5.585e-02   7.786e+01  2.848e-05  0.9476  6.09e-08
  466    0.466    1   1048.9    976.4       104.13       2.76   5.583e-02   7.784e+01  2.851e-05  0.9475  6.07e-08
  467    0.467    1   1048.5    976.2       104.13       2.77   5.581e-02   7.783e+01  2.855e-05  0.9474  6.04e-08
  468    0.468    1   1048.2    976.0       104.13       2.77   5.579e-02   7.781e+01  2.858e-05  0.9473  6.02e-08
  469    0.469    1   1047.8    975.8       104.12       2.77   5.577e-02   7.779e+01  2.862e-05  0.9472  5.99e-08
  470    0.470    1   1047.5    975.6       104.12       2.77   5.575e-02   7.778e+01  2.865e-05  0.9472  5.97e-08
  471    0.471    1   1047.2    975.4       104.12       2.77   5.573e-02   7.776e+01  2.868e-05  0.9471  5.94e-08
  472    0.472    1   1046.8    975.1       104.12       2.77   5.570e-02   7.774e+01  2.872e-05  0.9470  5.92e-08
  473    0.473    1   1046.5    974.9       104.12       2.77   5.568e-02   7.773e+01  2.875e-05  0.9469  5.90e-08
  474    0.474    1   1046.2    974.7       104.12       2.78   5.565e-02   7.771e+01  2.878e-05  0.9468  5.88e-08
  475    0.475    1   1045.9    974.5       104.12       2.78   5.562e-02   7.769e+01  2.882e-05  0.9467  5.86e-08
  476    0.476    1   1045.5    974.3       104.12       2.78   5.558e-02   7.767e+01  2.885e-05  0.9466  5.83e-08
  477    0.477    1   1045.2    974.1       104.12       2.78   5.554e-02   7.766e+01  2.888e-05  0.9465  5.81e-08
  478    0.478    1   1044.9    973.9       104.12       2.78   5.550e-02   7.764e+01  2.892e-05  0.9464  5.80e-08
  479    0.479    1   1044.6    973.6       104.12       2.78   5.545e-02   7.762e+01  2.895e-05  0.9463  5.78e-08
  480    0.480    1   1044.2    973.4       104.12       2.78   5.539e-02   7.761e+01  2.898e-05  0.9463  5.76e-08
   >> t=0.480 s | 2-D flow: m_gen=+2.87e-04 m_vent=+2.58e-04 kg/s/m (Pfield=2.8 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.62e-01 kg/s/m -> dP=+3.12 kPa
  481    0.481    1   1043.9    973.2       104.12       2.79   5.533e-02   7.759e+01  2.902e-05  0.9462  5.74e-08
  482    0.482    1   1043.6    973.0       104.12       2.79   5.527e-02   7.757e+01  2.905e-05  0.9461  5.72e-08
  483    0.483    1   1043.3    972.8       104.11       2.79   5.520e-02   7.756e+01  2.908e-05  0.9460  5.70e-08
  484    0.484    1   1042.9    972.6       104.11       2.79   5.513e-02   7.754e+01  2.911e-05  0.9459  5.68e-08
  485    0.485    1   1042.6    972.4       104.11       2.79   5.505e-02   7.752e+01  2.914e-05  0.9458  5.66e-08
  486    0.486    1   1042.3    972.2       104.11       2.79   5.496e-02   7.751e+01  2.918e-05  0.9457  5.63e-08
  487    0.487    1   1042.0    971.9       104.11       2.79   5.488e-02   7.749e+01  2.921e-05  0.9457  5.61e-08
  488    0.488    1   1041.7    971.7       104.11       2.79   5.479e-02   7.747e+01  2.924e-05  0.9456  5.59e-08
  489    0.489    1   1041.4    971.5       104.11       2.80   5.470e-02   7.746e+01  2.927e-05  0.9455  5.57e-08
  490    0.490    1   1041.0    971.3       104.11       2.80   5.461e-02   7.744e+01  2.930e-05  0.9454  5.54e-08
  491    0.491    1   1040.7    971.1       104.11       2.80   5.451e-02   7.743e+01  2.934e-05  0.9453  5.52e-08
  492    0.492    1   1040.4    970.9       104.11       2.80   5.441e-02   7.741e+01  2.937e-05  0.9452  5.49e-08
  493    0.493    1   1040.1    970.7       104.11       2.80   5.432e-02   7.739e+01  2.940e-05  0.9451  5.47e-08
  494    0.494    1   1039.8    970.5       104.11       2.80   5.422e-02   7.738e+01  2.943e-05  0.9451  5.44e-08
  495    0.495    1   1039.5    970.3       104.11       2.80   5.412e-02   7.736e+01  2.946e-05  0.9450  5.42e-08
  496    0.496    1   1039.2    970.1       104.11       2.81   5.403e-02   7.735e+01  2.950e-05  0.9449  5.39e-08
  497    0.497    1   1038.9    969.9       104.11       2.81   5.394e-02   7.733e+01  2.953e-05  0.9448  5.37e-08
  498    0.498    1   1038.6    969.7       104.10       2.81   5.384e-02   7.731e+01  2.956e-05  0.9447  5.34e-08
  499    0.499    1   1038.3    969.5       104.10       2.81   5.375e-02   7.730e+01  2.959e-05  0.9446  5.32e-08
  500    0.500    1   1038.0    969.3       104.10       2.81   5.366e-02   7.728e+01  2.962e-05  0.9446  5.29e-08
  501    0.501    1   1037.6    969.1       104.10       2.81   5.358e-02   7.727e+01  2.966e-05  0.9445  5.27e-08
  502    0.502    1   1037.3    968.9       104.10       2.81   5.349e-02   7.725e+01  2.969e-05  0.9444  5.25e-08
  503    0.503    1   1037.0    968.7       104.10       2.81   5.341e-02   7.724e+01  2.972e-05  0.9443  5.22e-08
  504    0.504    1   1036.7    968.5       104.10       2.82   5.333e-02   7.722e+01  2.975e-05  0.9442  5.20e-08
  505    0.505    1   1036.4    968.3       104.10       2.82   5.325e-02   7.721e+01  2.979e-05  0.9441  5.18e-08
  506    0.506    1   1036.1    968.1       104.10       2.82   5.318e-02   7.719e+01  2.982e-05  0.9441  5.16e-08
  507    0.507    1   1035.8    968.0       104.10       2.82   5.311e-02   7.718e+01  2.985e-05  0.9440  5.14e-08
  508    0.508    1   1035.5    967.8       104.10       2.82   5.304e-02   7.716e+01  2.988e-05  0.9439  5.12e-08
  509    0.509    1   1035.3    967.6       104.10       2.82   5.297e-02   7.715e+01  2.991e-05  0.9438  5.10e-08
  510    0.510    1   1035.0    967.4       104.10       2.82   5.291e-02   7.713e+01  2.995e-05  0.9437  5.08e-08
  511    0.511    1   1034.7    967.2       104.10       2.82   5.285e-02   7.712e+01  2.998e-05  0.9437  5.07e-08
  512    0.512    1   1034.4    967.0       104.10       2.83   5.279e-02   7.710e+01  3.001e-05  0.9436  5.05e-08
  513    0.513    1   1034.1    966.8       104.10       2.83   5.273e-02   7.709e+01  3.005e-05  0.9435  5.03e-08
  514    0.514    1   1033.8    966.6       104.10       2.83   5.267e-02   7.707e+01  3.008e-05  0.9434  5.02e-08
  515    0.515    1   1033.5    966.4       104.09       2.83   5.262e-02   7.706e+01  3.011e-05  0.9433  5.00e-08
  516    0.516    1   1033.2    966.2       104.09       2.83   5.257e-02   7.704e+01  3.014e-05  0.9432  4.99e-08
  517    0.517    1   1032.9    966.0       104.09       2.83   5.252e-02   7.703e+01  3.018e-05  0.9432  4.97e-08
  518    0.518    1   1032.7    965.8       104.09       2.83   5.247e-02   7.701e+01  3.021e-05  0.9431  4.96e-08
  519    0.519    1   1032.4    965.6       104.09       2.83   5.242e-02   7.700e+01  3.024e-05  0.9430  4.94e-08
  520    0.520    1   1032.1    965.5       104.09       2.84   5.238e-02   7.698e+01  3.028e-05  0.9429  4.93e-08
   >> t=0.520 s | 2-D flow: m_gen=+2.70e-04 m_vent=+2.46e-04 kg/s/m (Pfield=2.8 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+3.09 kPa
  521    0.521    1   1031.8    965.3       104.09       2.84   5.233e-02   7.697e+01  3.031e-05  0.9428  4.91e-08
  522    0.522    1   1031.5    965.1       104.09       2.84   5.229e-02   7.695e+01  3.034e-05  0.9428  4.90e-08
  523    0.523    1   1031.2    964.9       104.09       2.84   5.225e-02   7.694e+01  3.037e-05  0.9427  4.89e-08
  524    0.524    1   1031.0    964.7       104.09       2.84   5.220e-02   7.692e+01  3.041e-05  0.9426  4.87e-08
  525    0.525    1   1030.7    964.5       104.09       2.84   5.216e-02   7.691e+01  3.044e-05  0.9425  4.86e-08
  526    0.526    1   1030.4    964.3       104.09       2.84   5.212e-02   7.689e+01  3.047e-05  0.9424  4.85e-08
  527    0.527    1   1030.1    964.1       104.09       2.84   5.208e-02   7.688e+01  3.051e-05  0.9423  4.84e-08
  528    0.528    1   1029.9    963.9       104.09       2.84   5.204e-02   7.686e+01  3.054e-05  0.9423  4.82e-08
  529    0.529    1   1029.6    963.8       104.09       2.85   5.200e-02   7.685e+01  3.057e-05  0.9422  4.81e-08
  530    0.530    1   1029.3    963.6       104.09       2.85   5.196e-02   7.683e+01  3.060e-05  0.9421  4.80e-08
  531    0.531    1   1029.1    963.4       104.08       2.85   5.192e-02   7.682e+01  3.064e-05  0.9420  4.78e-08
  532    0.532    1   1028.8    963.2       104.08       2.85   5.188e-02   7.680e+01  3.067e-05  0.9419  4.77e-08
  533    0.533    1   1028.5    963.0       104.08       2.85   5.184e-02   7.679e+01  3.070e-05  0.9419  4.76e-08
  534    0.534    1   1028.3    962.8       104.08       2.85   5.180e-02   7.678e+01  3.074e-05  0.9418  4.75e-08
  535    0.535    1   1028.0    962.6       104.08       2.85   5.176e-02   7.676e+01  3.077e-05  0.9417  4.73e-08
  536    0.536    1   1027.8    962.5       104.08       2.85   5.172e-02   7.675e+01  3.080e-05  0.9416  4.72e-08
  537    0.537    1   1027.5    962.3       104.08       2.85   5.168e-02   7.673e+01  3.084e-05  0.9415  4.71e-08
  538    0.538    1   1027.3    962.1       104.08       2.86   5.163e-02   7.672e+01  3.087e-05  0.9415  4.70e-08
  539    0.539    1   1027.0    961.9       104.08       2.86   5.159e-02   7.670e+01  3.090e-05  0.9414  4.68e-08
  540    0.540    1   1026.8    961.7       104.08       2.86   5.155e-02   7.669e+01  3.093e-05  0.9413  4.67e-08
  541    0.541    1   1026.5    961.5       104.08       2.86   5.151e-02   7.667e+01  3.097e-05  0.9412  4.66e-08
  542    0.542    1   1026.2    961.4       104.08       2.86   5.146e-02   7.666e+01  3.100e-05  0.9411  4.64e-08
  543    0.543    1   1026.0    961.2       104.08       2.86   5.142e-02   7.665e+01  3.103e-05  0.9411  4.63e-08
  544    0.544    1   1025.7    961.0       104.08       2.86   5.138e-02   7.663e+01  3.106e-05  0.9410  4.62e-08
  545    0.545    1   1025.5    960.8       104.08       2.86   5.133e-02   7.662e+01  3.110e-05  0.9409  4.60e-08
  546    0.546    1   1025.2    960.6       104.08       2.86   5.129e-02   7.660e+01  3.113e-05  0.9408  4.59e-08
  547    0.547    1   1025.0    960.5       104.08       2.87   5.124e-02   7.659e+01  3.116e-05  0.9407  4.58e-08
  548    0.548    1   1024.7    960.3       104.07       2.87   5.119e-02   7.658e+01  3.120e-05  0.9407  4.56e-08
  549    0.549    1   1024.5    960.1       104.07       2.87   5.114e-02   7.656e+01  3.123e-05  0.9406  4.55e-08
  550    0.550    1   1024.3    959.9       104.07       2.87   5.110e-02   7.655e+01  3.126e-05  0.9405  4.54e-08
  551    0.551    1   1024.0    959.8       104.07       2.87   5.105e-02   7.653e+01  3.129e-05  0.9404  4.52e-08
  552    0.552    1   1023.8    959.6       104.07       2.87   5.100e-02   7.652e+01  3.133e-05  0.9403  4.51e-08
  553    0.553    1   1023.5    959.4       104.07       2.87   5.095e-02   7.651e+01  3.136e-05  0.9403  4.49e-08
  554    0.554    1   1023.3    959.2       104.07       2.87   5.090e-02   7.649e+01  3.139e-05  0.9402  4.48e-08
  555    0.555    1   1023.0    959.1       104.07       2.87   5.084e-02   7.648e+01  3.142e-05  0.9401  4.47e-08
  556    0.556    1   1022.8    958.9       104.07       2.88   5.079e-02   7.647e+01  3.146e-05  0.9400  4.45e-08
  557    0.557    1   1022.5    958.7       104.07       2.88   5.074e-02   7.645e+01  3.149e-05  0.9399  4.44e-08
  558    0.558    1   1022.3    958.5       104.07       2.88   5.068e-02   7.644e+01  3.152e-05  0.9399  4.42e-08
  559    0.559    1   1022.0    958.4       104.07       2.88   5.063e-02   7.643e+01  3.155e-05  0.9398  4.41e-08
  560    0.560    1   1021.8    958.2       104.07       2.88   5.057e-02   7.641e+01  3.159e-05  0.9397  4.39e-08
   >> t=0.560 s | 2-D flow: m_gen=+2.61e-04 m_vent=+2.39e-04 kg/s/m (Pfield=2.9 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+3.07 kPa
  561    0.561    1   1021.6    958.0       104.07       2.88   5.051e-02   7.640e+01  3.162e-05  0.9396  4.38e-08
  562    0.562    1   1021.3    957.9       104.07       2.88   5.045e-02   7.639e+01  3.165e-05  0.9396  4.37e-08
  563    0.563    1   1021.1    957.7       104.07       2.88   5.040e-02   7.637e+01  3.168e-05  0.9395  4.35e-08
  564    0.564    1   1020.8    957.5       104.07       2.88   5.034e-02   7.636e+01  3.172e-05  0.9394  4.34e-08
  565    0.565    1   1020.6    957.4       104.07       2.89   5.028e-02   7.635e+01  3.175e-05  0.9393  4.32e-08
  566    0.566    1   1020.4    957.2       104.07       2.89   5.022e-02   7.633e+01  3.178e-05  0.9392  4.31e-08
  567    0.567    1   1020.1    957.0       104.06       2.89   5.016e-02   7.632e+01  3.181e-05  0.9392  4.29e-08
  568    0.568    1   1019.9    956.9       104.06       2.89   5.010e-02   7.631e+01  3.184e-05  0.9391  4.28e-08
  569    0.569    1   1019.6    956.7       104.06       2.89   5.004e-02   7.629e+01  3.188e-05  0.9390  4.26e-08
  570    0.570    1   1019.4    956.5       104.06       2.89   4.998e-02   7.628e+01  3.191e-05  0.9389  4.25e-08
  571    0.571    1   1019.2    956.4       104.06       2.89   4.992e-02   7.627e+01  3.194e-05  0.9389  4.23e-08
  572    0.572    1   1018.9    956.2       104.06       2.89   4.986e-02   7.626e+01  3.197e-05  0.9388  4.22e-08
  573    0.573    1   1018.7    956.0       104.06       2.89   4.981e-02   7.624e+01  3.201e-05  0.9387  4.20e-08
  574    0.574    1   1018.4    955.9       104.06       2.89   4.975e-02   7.623e+01  3.204e-05  0.9386  4.19e-08
  575    0.575    1   1018.2    955.7       104.06       2.90   4.969e-02   7.622e+01  3.207e-05  0.9385  4.17e-08
  576    0.576    1   1018.0    955.6       104.06       2.90   4.964e-02   7.621e+01  3.210e-05  0.9385  4.16e-08
  577    0.577    1   1017.7    955.4       104.06       2.90   4.958e-02   7.619e+01  3.214e-05  0.9384  4.14e-08
  578    0.578    1   1017.5    955.3       104.06       2.90   4.953e-02   7.618e+01  3.217e-05  0.9383  4.13e-08
  579    0.579    1   1017.3    955.1       104.06       2.90   4.948e-02   7.617e+01  3.220e-05  0.9382  4.11e-08
  580    0.580    1   1017.0    954.9       104.06       2.90   4.943e-02   7.616e+01  3.223e-05  0.9382  4.10e-08
  581    0.581    1   1016.8    954.8       104.06       2.90   4.938e-02   7.614e+01  3.226e-05  0.9381  4.08e-08
  582    0.582    1   1016.6    954.6       104.06       2.90   4.933e-02   7.613e+01  3.230e-05  0.9380  4.07e-08
  583    0.583    1   1016.3    954.5       104.06       2.90   4.929e-02   7.612e+01  3.233e-05  0.9379  4.06e-08
  584    0.584    1   1016.1    954.3       104.06       2.90   4.924e-02   7.611e+01  3.236e-05  0.9379  4.05e-08
  585    0.585    1   1015.9    954.2       104.06       2.91   4.920e-02   7.609e+01  3.239e-05  0.9378  4.04e-08
  586    0.586    1   1015.6    954.0       104.05       2.91   4.916e-02   7.608e+01  3.243e-05  0.9377  4.03e-08
  587    0.587    1   1015.4    953.8       104.05       2.91   4.912e-02   7.607e+01  3.246e-05  0.9376  4.02e-08
  588    0.588    1   1015.2    953.7       104.05       2.91   4.908e-02   7.606e+01  3.249e-05  0.9376  4.01e-08
  589    0.589    1   1015.0    953.5       104.05       2.91   4.904e-02   7.605e+01  3.253e-05  0.9375  4.00e-08
  590    0.590    1   1014.7    953.4       104.05       2.91   4.901e-02   7.603e+01  3.256e-05  0.9374  3.99e-08
  591    0.591    1   1014.5    953.2       104.05       2.91   4.897e-02   7.602e+01  3.259e-05  0.9373  3.98e-08
  592    0.592    1   1014.3    953.1       104.05       2.91   4.894e-02   7.601e+01  3.262e-05  0.9373  3.97e-08
  593    0.593    1   1014.1    952.9       104.05       2.91   4.891e-02   7.600e+01  3.266e-05  0.9372  3.96e-08
  594    0.594    1   1013.8    952.8       104.05       2.91   4.888e-02   7.599e+01  3.269e-05  0.9371  3.96e-08
  595    0.595    1   1013.6    952.6       104.05       2.91   4.886e-02   7.597e+01  3.272e-05  0.9370  3.95e-08
  596    0.596    1   1013.4    952.5       104.05       2.92   4.883e-02   7.596e+01  3.276e-05  0.9370  3.94e-08
  597    0.597    1   1013.2    952.3       104.05       2.92   4.881e-02   7.595e+01  3.279e-05  0.9369  3.93e-08
  598    0.598    1   1012.9    952.2       104.05       2.92   4.878e-02   7.594e+01  3.282e-05  0.9368  3.92e-08
  599    0.599    1   1012.7    952.0       104.05       2.92   4.876e-02   7.593e+01  3.285e-05  0.9367  3.92e-08
  600    0.600    1   1012.5    951.9       104.05       2.92   4.874e-02   7.592e+01  3.289e-05  0.9367  3.91e-08
   >> t=0.600 s | 2-D flow: m_gen=+2.52e-04 m_vent=+2.32e-04 kg/s/m (Pfield=2.9 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+3.05 kPa
  601    0.601    1   1012.3    951.7       104.05       2.92   4.872e-02   7.590e+01  3.292e-05  0.9366  3.90e-08
  602    0.602    1   1012.1    951.6       104.05       2.92   4.871e-02   7.589e+01  3.295e-05  0.9365  3.89e-08
  603    0.603    1   1011.8    951.4       104.05       2.92   4.869e-02   7.588e+01  3.299e-05  0.9364  3.89e-08
  604    0.604    1   1011.6    951.3       104.05       2.92   4.868e-02   7.587e+01  3.302e-05  0.9363  3.88e-08
  605    0.605    1   1011.4    951.1       104.05       2.92   4.867e-02   7.586e+01  3.305e-05  0.9363  3.87e-08
  606    0.606    1   1011.2    951.0       104.05       2.93   4.865e-02   7.585e+01  3.309e-05  0.9362  3.87e-08
  607    0.607    1   1011.0    950.8       104.04       2.93   4.865e-02   7.583e+01  3.312e-05  0.9361  3.86e-08
  608    0.608    1   1010.8    950.7       104.04       2.93   4.864e-02   7.582e+01  3.315e-05  0.9360  3.86e-08
  609    0.609    1   1010.5    950.5       104.04       2.93   4.863e-02   7.581e+01  3.319e-05  0.9360  3.85e-08
  610    0.610    1   1010.3    950.4       104.04       2.93   4.862e-02   7.580e+01  3.322e-05  0.9359  3.84e-08
  611    0.611    1   1010.1    950.2       104.04       2.93   4.862e-02   7.579e+01  3.325e-05  0.9358  3.84e-08
  612    0.612    1   1009.9    950.1       104.04       2.93   4.862e-02   7.578e+01  3.329e-05  0.9357  3.83e-08
  613    0.613    1   1009.7    949.9       104.04       2.93   4.862e-02   7.576e+01  3.332e-05  0.9357  3.83e-08
  614    0.614    1   1009.5    949.8       104.04       2.93   4.862e-02   7.575e+01  3.335e-05  0.9356  3.82e-08
  615    0.615    1   1009.3    949.6       104.04       2.93   4.862e-02   7.574e+01  3.339e-05  0.9355  3.82e-08
  616    0.616    1   1009.1    949.5       104.04       2.93   4.862e-02   7.573e+01  3.342e-05  0.9354  3.81e-08
  617    0.617    1   1008.9    949.3       104.04       2.94   4.862e-02   7.572e+01  3.346e-05  0.9354  3.81e-08
  618    0.618    1   1008.6    949.2       104.04       2.94   4.863e-02   7.571e+01  3.349e-05  0.9353  3.80e-08
  619    0.619    1   1008.4    949.0       104.04       2.94   4.864e-02   7.569e+01  3.352e-05  0.9352  3.80e-08
  620    0.620    1   1008.2    948.9       104.04       2.94   4.864e-02   7.568e+01  3.356e-05  0.9351  3.79e-08
  621    0.621    1   1008.0    948.7       104.04       2.94   4.865e-02   7.567e+01  3.359e-05  0.9350  3.79e-08
  622    0.622    1   1007.8    948.6       104.04       2.94   4.866e-02   7.566e+01  3.363e-05  0.9350  3.79e-08
  623    0.623    1   1007.6    948.4       104.04       2.94   4.868e-02   7.565e+01  3.366e-05  0.9349  3.78e-08
  624    0.624    1   1007.4    948.3       104.04       2.94   4.869e-02   7.564e+01  3.369e-05  0.9348  3.78e-08
  625    0.625    1   1007.2    948.1       104.04       2.94   4.870e-02   7.563e+01  3.373e-05  0.9347  3.77e-08
  626    0.626    1   1007.0    948.0       104.04       2.94   4.872e-02   7.561e+01  3.376e-05  0.9346  3.77e-08
  627    0.627    1   1006.8    947.8       104.04       2.94   4.874e-02   7.560e+01  3.380e-05  0.9346  3.77e-08
  628    0.628    1   1006.6    947.7       104.04       2.95   4.876e-02   7.559e+01  3.383e-05  0.9345  3.77e-08
  629    0.629    1   1006.4    947.5       104.03       2.95   4.878e-02   7.558e+01  3.387e-05  0.9344  3.76e-08
  630    0.630    1   1006.2    947.4       104.03       2.95   4.880e-02   7.557e+01  3.390e-05  0.9343  3.76e-08
  631    0.631    1   1006.0    947.3       104.03       2.95   4.882e-02   7.556e+01  3.393e-05  0.9343  3.76e-08
  632    0.632    1   1005.8    947.1       104.03       2.95   4.884e-02   7.554e+01  3.397e-05  0.9342  3.75e-08
  633    0.633    1   1005.6    947.0       104.03       2.95   4.887e-02   7.553e+01  3.400e-05  0.9341  3.75e-08
  634    0.634    1   1005.4    946.8       104.03       2.95   4.890e-02   7.552e+01  3.404e-05  0.9340  3.75e-08
  635    0.635    1   1005.2    946.7       104.03       2.95   4.892e-02   7.551e+01  3.407e-05  0.9339  3.75e-08
  636    0.636    1   1005.0    946.5       104.03       2.95   4.895e-02   7.550e+01  3.411e-05  0.9339  3.75e-08
  637    0.637    1   1004.8    946.4       104.03       2.95   4.898e-02   7.549e+01  3.414e-05  0.9338  3.74e-08
  638    0.638    1   1004.6    946.2       104.03       2.96   4.901e-02   7.548e+01  3.418e-05  0.9337  3.74e-08
  639    0.639    1   1004.5    946.1       104.03       2.96   4.905e-02   7.546e+01  3.421e-05  0.9336  3.74e-08
  640    0.640    1   1004.3    945.9       104.03       2.96   4.908e-02   7.545e+01  3.425e-05  0.9335  3.74e-08
   >> t=0.640 s | 2-D flow: m_gen=+2.54e-04 m_vent=+2.35e-04 kg/s/m (Pfield=3.0 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+3.03 kPa
  641    0.641    1   1004.1    945.8       104.03       2.96   4.911e-02   7.544e+01  3.428e-05  0.9335  3.74e-08
  642    0.642    1   1003.9    945.6       104.03       2.96   4.915e-02   7.543e+01  3.432e-05  0.9334  3.74e-08
  643    0.643    1   1003.7    945.5       104.03       2.96   4.919e-02   7.542e+01  3.435e-05  0.9333  3.74e-08
  644    0.644    1   1003.5    945.3       104.03       2.96   4.922e-02   7.541e+01  3.439e-05  0.9332  3.74e-08
  645    0.645    1   1003.3    945.2       104.03       2.96   4.926e-02   7.539e+01  3.442e-05  0.9331  3.74e-08
  646    0.646    1   1003.1    945.0       104.03       2.96   4.930e-02   7.538e+01  3.446e-05  0.9330  3.73e-08
  647    0.647    1   1002.9    944.9       104.03       2.96   4.934e-02   7.537e+01  3.449e-05  0.9330  3.73e-08
  648    0.648    1   1002.7    944.7       104.03       2.96   4.938e-02   7.536e+01  3.453e-05  0.9329  3.73e-08
  649    0.649    1   1002.5    944.6       104.03       2.97   4.942e-02   7.535e+01  3.456e-05  0.9328  3.73e-08
  650    0.650    1   1002.4    944.4       104.02       2.97   4.946e-02   7.534e+01  3.460e-05  0.9327  3.73e-08
  651    0.651    1   1002.2    944.3       104.02       2.97   4.950e-02   7.533e+01  3.463e-05  0.9326  3.73e-08
  652    0.652    1   1002.0    944.1       104.02       2.97   4.954e-02   7.531e+01  3.467e-05  0.9326  3.73e-08
  653    0.653    1   1001.8    944.0       104.02       2.97   4.958e-02   7.530e+01  3.471e-05  0.9325  3.73e-08
  654    0.654    1   1001.6    943.8       104.02       2.97   4.962e-02   7.529e+01  3.474e-05  0.9324  3.73e-08
  655    0.655    1   1001.4    943.7       104.02       2.97   4.967e-02   7.528e+01  3.478e-05  0.9323  3.73e-08
  656    0.656    1   1001.2    943.5       104.02       2.97   4.971e-02   7.527e+01  3.481e-05  0.9322  3.73e-08
  657    0.657    1   1001.0    943.4       104.02       2.97   4.975e-02   7.526e+01  3.485e-05  0.9321  3.73e-08
  658    0.658    1   1000.9    943.3       104.02       2.97   4.979e-02   7.524e+01  3.488e-05  0.9321  3.73e-08
  659    0.659    1   1000.7    943.1       104.02       2.97   4.982e-02   7.523e+01  3.492e-05  0.9320  3.73e-08
  660    0.660    1   1000.5    943.0       104.02       2.98   4.986e-02   7.522e+01  3.495e-05  0.9319  3.73e-08
